timestamp,qubit,readout_error
2026-06-07T05:14:17.182912+00:00,0,0.068115234375
2026-06-07T05:14:17.182912+00:00,1,0.0048828125
2026-06-07T05:14:17.182912+00:00,2,0.004638671875
2026-06-07T05:14:17.182912+00:00,3,0.006591796875
2026-06-07T05:14:17.182912+00:00,4,0.0064697265625
2026-06-07T05:14:17.182912+00:00,5,0.00537109375
2026-06-07T05:14:17.182912+00:00,6,0.0062255859375
2026-06-07T05:14:17.182912+00:00,7,0.0042724609375
2026-06-07T05:14:17.182912+00:00,8,0.0147705078125
2026-06-07T05:14:17.182912+00:00,9,0.0313720703125
2026-06-07T05:14:17.182912+00:00,10,0.0189208984375
2026-06-07T05:14:17.182912+00:00,11,0.03369140625
2026-06-07T05:14:17.182912+00:00,12,0.00537109375
2026-06-07T05:14:17.182912+00:00,13,0.0252685546875
2026-06-07T05:14:17.182912+00:00,14,0.0052490234375
2026-06-07T05:14:17.182912+00:00,15,0.0072021484375
2026-06-07T05:14:17.182912+00:00,16,0.0155029296875
2026-06-07T05:14:17.182912+00:00,17,0.0079345703125
2026-06-07T05:14:17.182912+00:00,18,0.0582275390625
2026-06-07T05:14:17.182912+00:00,19,0.0040283203125
2026-06-07T05:14:17.182912+00:00,20,0.0079345703125
2026-06-07T05:14:17.182912+00:00,21,0.004638671875
2026-06-07T05:14:17.182912+00:00,22,0.0130615234375
2026-06-07T05:14:17.182912+00:00,23,0.039306640625
2026-06-07T05:14:17.182912+00:00,24,0.0281982421875
2026-06-07T05:14:17.182912+00:00,25,0.0335693359375
2026-06-07T05:14:17.182912+00:00,26,0.061767578125
2026-06-07T05:14:17.182912+00:00,27,0.0079345703125
2026-06-07T05:14:17.182912+00:00,28,0.0177001953125
2026-06-07T05:14:17.182912+00:00,29,0.21435546875
2026-06-07T05:14:17.182912+00:00,30,0.0233154296875
2026-06-07T05:14:17.182912+00:00,31,0.024169921875
2026-06-07T05:14:17.182912+00:00,32,0.029052734375
2026-06-07T05:14:17.182912+00:00,33,0.0108642578125
2026-06-07T05:14:17.182912+00:00,34,0.0074462890625
